id,pl,pw,sl,sw
59,6.5,2.7,4.5,1.2
60,5.2,2.6,3.8,1.3
61,4.9,1.9,3.5,1.1
62,5.8,2.9,4.2,1.5
63,5.9,2.1,4,1
64,5.9,2.8,4.5,1.5
65,5.7,2.9,3.6,1.3
66,6.7,3,4.3,1.5
67,5.5,2.9,4.6,1.4
68,5.7,2.6,4,1.1
69,6.1,2.1,4.5,1.5
70,5.6,2.5,3.8,1.1
71,5.9,3.1,4.8,1.9
72,6,2.7,4,1.3
73,6.4,2.4,4.9,1.6
74,6.1,2.8,4.6,1.2
75,6.4,3,4.3,1.4
76,6.6,2.9,4.4,1.5
77,6.7,2.8,4.7,1.5
78,6.6,3,5,1.7
79,6,2.8,4.5,1.5
80,5.6,2.5,3.5,1.1
81,5.6,2.4,3.7,1.2
82,5.4,2.3,3.6,1.1
83,5.8,2.6,3.7,1.3
84,5.9,2.8,5,1.6
85,5.3,2.9,4.4,1.6
86,5.9,3.4,4.6,1.6
87,6.7,3,4.6,1.5
88,6.3,2.3,4.3,1.4
89,5.6,3,4.2,1.4
90,5.5,2.5,3.9,1.3
91,5.4,2.4,4.4,1.3
92,6.1,3,4.5,1.5
93,5.7,2.4,3.9,1.2
94,4.9,2.3,3.1,1.1
95,5.6,2.6,4.2,1.2
96,5.8,3,4.2,1.3
97,5.5,2.9,4.1,1.4
98,6.2,2.8,4.2,1.4
99,5,2.5,2.9,1
100,5.7,2.9,4,1.4
101,6.2,3.2,6,2.7
102,5.8,2.6,5.1,2.1
103,7.1,2.9,5.9,2.1
104,6.2,2.8,5.5,1.9
105,6.5,2.9,5.8,2.2
106,7.6,2.9,6.5,2.1
107,4.9,2.4,4.4,1.6
108,7.3,2.8,6.4,1.9
109,6.7,2.5,5.8,1.7
110,7.2,3.6,6.1,2.7
111,6.4,3.1,5.1,2
112,6.3,2.7,5.2,2
113,6.8,2.9,5.4,2.1
114,5.7,2.5,5,2
115,5.8,2.8,5.1,2.4
116,6.5,3.1,5.2,2.3
117,6.4,3,5.5,1.8
118,7.6,3.8,6.8,2.1
119,7.7,2.5,6.8,2.3
120,6,2.2,5,1.5
121,6.9,3.2,5.6,2.4
122,5.6,2.6,4.7,2
123,7.5,2.8,6.6,2.1
124,6.2,2.6,5,1.8
125,6.7,3.2,5.8,2.2
126,7.1,3.1,6,1.8
127,6.3,2.8,4.7,2
128,6,3,4.9,1.8
129,6.4,2.6,5.6,2.1
130,7.2,3,5.7,1.6
131,7.4,2.7,6.1,1.9
132,7.9,3.7,6.3,2
133,6.3,2.7,5.6,2.3
134,6.2,2.9,5.1,1.4
135,5.9,2.4,5.4,1.4
136,7.7,2.9,6.1,2.2
137,6.2,3.4,5.5,2.4
138,6.4,2.9,5.5,1.8
139,5.9,3,4.7,1.9
140,6.9,3,5.3,2.1
141,6.6,3,5.7,2.5
142,6.9,3,5,2.3
143,5.9,2.6,5,2
144,6.7,3.1,5.8,2.4
145,6.7,3.3,5.5,2.6
146,6.6,3,5.1,2.5
147,6.4,2.6,5.1,2.1
148,6.6,3,5,2
149,6.1,3.3,5.3,2.4
150,5.9,3,5,1.9
151,5.1,3.4,1.3,0.4
152,4.8,2.9,1.5,0.2
153,4.6,3,1.1,0.3
154,4.5,3,1.5,0.3
155,4.9,3.5,1.4,0.2
156,5.5,4,1.7,0.5
157,4.7,3.5,1.4,0.3
158,4.9,3.4,1.4,0.2
159,4.3,2.9,1.4,0.3
160,4.7,3.1,1.4,0.1
161,5.3,3.8,1.4,0.2
162,4.8,3.4,1.6,0.3
163,4.8,3,1.4,0.1
164,4.2,2.9,1,0.1
165,5.9,4,1.2,0.4
166,5.7,4.3,1.4,0.5
167,5.4,3.7,1.2,0.5
168,5.1,3.4,1.4,0.3
169,5.6,3.8,1.7,0.3
170,4.9,3.7,1.4,0.4
171,5.3,3.4,1.7,0.2
172,4.9,3.7,1.4,0.4
173,4.6,3.6,1.1,0.2
174,5.1,3.2,1.7,0.5
175,4.7,3.3,1.7,0.1
176,4.8,2.9,1.6,0.2
177,5,3.2,1.6,0.3
178,5.2,3.3,1.4,0.2
179,5,3.3,1.4,0.3
180,4.7,3.1,1.6,0.3
181,4.8,3.1,1.5,0.3
182,5.4,3.3,1.3,0.5
183,5.1,4.1,1.4,0.2
184,5.5,4.3,1.4,0.4
185,4.8,3.1,1.5,0.2
186,5,3.1,1.1,0.1
187,5.5,3.3,1.2,0.2
188,4.8,3,1.4,0.1
189,4.3,3.1,1.2,0.2
190,5.1,3.3,1.4,0.3
191,4.9,3.5,1.2,0.5
192,4.4,2.3,1.4,0.3
193,4.3,3.2,1.2,0.3
194,4.9,3.5,1.5,0.6
195,5.1,3.8,2,0.5
196,4.8,3.1,1.5,0.5
197,5.2,3.8,1.6,0.2
198,4.6,3.2,1.3,0.1
199,5.3,3.7,1.4,0.3
200,4.9,3.2,1.3,0.3
201,7,3.2,4.7,1.4
202,6.4,3.3,4.5,1.6
203,6.9,3,4.9,1.5
204,5.4,2.2,3.9,1.3
205,6.4,2.7,4.4,1.5
206,5.8,2.7,4.5,1.3
207,6.3,3.3,4.5,1.7
208,4.9,2.3,3.3,1
209,6.7,2.8,4.6,1.2
210,5.2,2.5,3.9,1.4
211,5.1,1.8,3.4,1
212,5.7,2.9,4,1.6
213,5.9,2.2,4.1,1.1
214,6,2.8,4.7,1.5
215,5.5,2.7,3.5,1.5
216,6.5,3,4.3,1.4
217,5.4,2.9,4.4,1.5
218,5.7,2.7,4,1.1
219,6.2,2.2,4.5,1.6
220,5.5,2.3,3.9,1.2
221,6,3.1,4.8,2
222,6.1,2.7,3.9,1.4
223,6.2,2.5,4.8,1.6
224,6,2.9,4.5,1.2
225,6.3,3,4.3,1.2
226,6.4,3,4.3,1.4
227,6.7,2.7,4.7,1.5
228,6.6,2.8,4.9,1.7
229,5.8,2.9,4.4,1.5
230,5.6,2.7,3.4,0.9
231,5.5,2.4,3.6,1.1
232,5.5,2.2,3.7,1
233,5.8,2.7,3.9,1.2
234,6,2.7,5,1.7
235,5.3,2.9,4.4,1.5
236,6.1,3.4,4.4,1.7
237,6.7,3.1,4.7,1.5
238,6.2,2.3,4.4,1.3
239,5.5,2.9,4,1.3
240,5.5,2.4,4,1.4
241,5.5,2.6,4.4,1.4
242,5.9,3,4.5,1.4
243,5.8,2.5,3.9,1.4
244,5,2.3,3.4,1
245,5.7,2.7,4.2,1.3
246,5.6,2.9,4.2,1.3
247,5.6,2.8,4.1,1.3
248,6.1,2.9,4.3,1.3
249,5,2.4,2.9,1.1
250,5.7,2.6,4,1.2
251,6.4,3.3,6,2.5
252,5.8,2.7,5,1.9
253,7,2.9,5.8,2.1
254,6.2,2.9,5.5,1.9
255,6.6,2.9,5.7,2.3
256,7.4,2.9,6.6,2
257,4.8,2.4,4.4,1.8
258,7.2,2.9,6.3,1.8
259,6.6,2.5,5.7,2
260,7.1,3.7,6,2.5
261,6.5,3.2,5,2
262,6.3,2.7,5.4,2.1
263,6.7,3,5.4,2.2
264,5.7,2.3,4.9,2.1
265,5.8,2.8,5,2.3
266,6.4,3.2,5.3,2.3
267,6.6,2.9,5.4,1.8
268,7.6,3.9,6.7,2.4
269,7.6,2.5,6.8,2.5
270,5.9,2.1,5,1.6
271,6.9,3.2,5.7,2.4
272,5.5,2.7,4.8,2
273,7.7,2.8,6.5,1.9
274,6.1,2.6,4.9,1.9
275,6.6,3.3,5.7,2.2
276,7.2,3.1,5.9,1.8
277,6.3,2.8,4.8,1.9
278,6.1,3,4.9,1.8
279,6.3,2.8,5.5,2.1
280,7.1,2.8,5.9,1.7
281,7.4,2.8,6,1.9
282,7.8,3.7,6.4,1.9
283,6.3,2.7,5.4,2.2
284,6.3,2.7,5.1,1.6
285,6,2.6,5.6,1.5
286,7.7,2.9,5.9,2.3
287,6.3,3.3,5.5,2.5
288,6.3,3.1,5.4,1.8
289,6.1,2.9,4.8,1.8
290,6.8,3.1,5.4,2.1
291,6.6,3.1,5.5,2.5
292,6.9,3,5,2.2
293,5.7,2.7,5,1.9
294,6.7,3.1,5.9,2.4
295,6.7,3.3,5.6,2.4
296,6.7,3,5.1,2.2
297,6.2,2.5,5,2.1
298,6.5,3,5.1,2
299,6.3,3.3,5.3,2.3
300,5.9,3,5.1,1.9
301,5.1,3.4,1.4,0.3
302,4.8,3,1.4,0.1
303,4.5,3,1.1,0.1
304,4.5,3,1.3,0.2
305,5,3.5,1.4,0.4
306,5.3,3.9,1.6,0.5
307,4.5,3.2,1.4,0.3
308,4.9,3.3,1.3,0.3
309,4.3,2.8,1.5,0.3
310,5,3,1.5,0.2
311,5.3,3.7,1.6,0.2
312,4.7,3.4,1.5,0.2
313,4.7,3.1,1.3,0.1
314,4.3,2.9,1,0.2
315,5.8,3.8,1.2,0.1
316,5.6,4.3,1.4,0.4
317,5.5,3.8,1.3,0.4
318,5,3.6,1.2,0.3
319,5.7,3.8,1.6,0.5
320,5,3.8,1.5,0.3
321,5.2,3.5,1.7,0.3
322,5,3.8,1.5,0.4
323,4.6,3.5,0.9,0.2
324,5,3.3,1.5,0.5
325,4.8,3.3,1.9,0.2
326,4.9,2.8,1.6,0.2
327,5,3.4,1.5,0.5
328,5.1,3.5,1.4,0.2
329,5.3,3.4,1.4,0.2
330,4.6,3.1,1.5,0.3
331,4.7,3,1.5,0.2
332,5.4,3.3,1.5,0.4
333,5.2,4,1.5,0.2
334,5.3,4.1,1.4,0.3
335,4.8,3,1.5,0.3
336,5,3.2,1.2,0.4
337,5.6,3.5,1.3,0.2
338,4.8,3,1.4,0.1
339,4.3,3,1.2,0.2
340,5,3.2,1.5,0.3
341,4.9,3.5,1.3,0.3
342,4.4,2.3,1.1,0.4
343,4.2,3.1,1.1,0.3
344,5,3.6,1.6,0.5
345,5,3.7,1.8,0.5
346,4.8,2.9,1.2,0.4
347,5.1,3.7,1.6,0.2
348,4.7,3.3,1.4,0.2
349,5.1,3.5,1.4,0.3
350,4.9,3.2,1.4,0.3
351,6.9,3.2,4.7,1.6
352,6.2,3.1,4.3,1.4
353,6.8,3.1,4.9,1.5
354,5.4,2.3,3.9,1.3
355,6.5,2.7,4.5,1.6
356,5.7,2.7,4.5,1.3
357,6.3,3.3,4.7,1.6
358,4.9,2.3,3.3,0.9
359,6.6,2.8,4.6,1.3
360,5,2.7,3.9,1.4
361,4.9,2,3.5,1.1
362,5.9,3,4.2,1.5
363,5.9,2.3,3.9,1
364,6.1,2.9,4.7,1.4
365,5.6,2.9,3.6,1.4
366,6.7,3,4.3,1.4
367,5.4,3,4.4,1.6
368,5.7,2.7,4,1.1
369,6,2,4.5,1.5
370,5.5,2.4,3.9,1.3
371,5.8,3.2,4.8,1.8
372,6,2.8,3.9,1.5
373,6.1,2.5,4.7,1.5
374,6,2.7,4.6,1.2
375,6.2,3,4.3,1.2
376,6.6,2.9,4.3,1.3
377,6.7,2.6,4.8,1.5
378,6.7,2.9,5,1.8
379,5.9,2.8,4.5,1.5
380,5.7,2.5,3.4,1
381,5.5,2.4,3.7,1.1
382,5.5,2.3,3.8,1.1
383,5.8,2.7,3.7,1.2
384,6,2.7,5,1.6
385,5.2,3,4.4,1.6
386,6,3.3,4.5,1.7
387,6.7,3.1,4.7,1.5
388,6.2,2.2,4.4,1.3
389,5.5,2.9,4,1.4
390,5.3,2.3,3.9,1.4
391,5.5,2.6,4.3,1.1
392,6.1,3.1,4.5,1.4
393,5.7,2.5,4,1.3
394,4.9,2.3,3.1,1.1
395,5.6,2.5,4.1,1.3
396,5.7,3,4.1,1.3
397,5.5,2.8,4.1,1.3
398,6,2.9,4.2,1.3
399,5,2.4,2.9,1.3
400,5.8,2.8,4.1,1.4
401,6.3,3.1,5.9,2.5
402,5.8,2.6,5,1.9
403,7.2,3,5.9,2.2
404,6.2,2.7,5.6,1.7
405,6.5,3,5.8,2.1
406,7.6,3.1,6.6,2.1
407,4.8,2.5,4.4,1.8
408,7.4,2.9,6.2,1.8
409,6.6,2.6,5.7,1.9
410,7.2,3.5,6.1,2.5
411,6.5,3.2,5.1,2.1
412,6.3,2.7,5.2,1.9
413,6.8,2.9,5.3,2.1
414,5.6,2.4,4.8,2
415,5.7,2.9,5.1,2.4
416,6.3,3.2,5.2,2.4
417,6.4,3,5.5,2
418,7.8,3.6,6.6,2.1
419,7.7,2.5,6.9,2.5
420,5.9,2.2,5,1.6
421,6.9,3.1,5.6,2.3
422,5.7,2.9,4.7,2
423,7.7,2.7,6.7,2
424,6.2,2.6,4.8,1.8
425,6.8,3.3,5.5,2.1
426,7.1,3,5.8,1.9
427,6.2,2.8,4.7,1.8
428,6.1,3,4.8,1.9
429,6.5,2.7,5.6,2.3
430,7,2.9,5.7,1.7
431,7.2,2.8,5.9,1.8
432,7.9,3.8,6.3,2.1
433,6.4,2.8,5.5,2.1
434,6.1,2.9,5,1.5
435,5.9,2.7,5.5,1.5
436,7.7,2.9,6.1,2.3
437,6.1,3.4,5.5,2.4
438,6.4,3.1,5.4,1.8
439,5.9,3,4.8,1.8
440,6.9,3.1,5.3,2.2
441,6.6,3,5.4,2.5
442,6.8,3.1,5,2.3
443,5.7,2.8,5.1,2
444,6.8,3.2,5.9,2.3
445,6.7,3.2,5.6,2.6
446,6.7,3,5.2,2.2
447,6.2,2.5,5.1,2
448,6.5,2.9,5,2.1
449,6.2,3.4,5.3,2.4
450,5.8,2.9,5,1.9
451,5.1,3.5,1.5,0.2
452,4.9,2.9,1.3,0.3
453,4.6,3.1,1.1,0.3
454,4.6,3.2,1.5,0.4
455,4.8,3.5,1.3,0.1
456,5.3,4,1.6,0.3
457,4.5,3.3,1.5,0.4
458,4.9,3.4,1.5,0.3
459,4.3,3,1.3,0.2
460,4.8,3.1,1.3,0.1
461,5.3,3.6,1.3,0.4
462,4.7,3.3,1.5,0.1
463,4.8,2.9,1.4,0.1
464,4.3,2.9,1.1,0.2
465,5.7,3.9,1,0.4
466,5.7,4.4,1.4,0.5
467,5.3,3.9,1.3,0.6
468,5.1,3.5,1.3,0.4
469,5.6,3.7,1.6,0.3
470,5,3.6,1.5,0.3
471,5.3,3.4,1.5,0.2
472,5,3.5,1.4,0.5
473,4.7,3.5,1,0.3
474,5,3.3,1.6,0.6
475,4.7,3.3,1.9,0.3
476,4.9,2.9,1.5,0.2
477,5,3.3,1.5,0.4
478,5.1,3.5,1.6,0.4
479,5.2,3.3,1.5,0.4
480,4.8,3.2,1.5,0.2
481,4.8,3.1,1.6,0.3
482,5.3,3.4,1.5,0.5
483,5,4,1.5,0.2
484,5.4,4.2,1.4,0.4
485,4.8,3.1,1.4,0.2
486,4.9,3.2,1.1,0.2
487,5.3,3.4,1.3,0.3
488,4.8,3.1,1.4,0.2
489,4.4,2.9,1.2,0.3
490,5.1,3.2,1.4,0.2
491,4.9,3.4,1.3,0.4
492,4.4,2.3,1.1,0.4
493,4.5,3.2,1.3,0.2
494,5.1,3.4,1.5,0.6
495,4.9,3.8,1.9,0.5
496,4.7,2.9,1.5,0.3
497,5.1,3.7,1.7,0.3
498,4.7,3.1,1.4,0.1
499,5.3,3.7,1.4,0.3
500,5,3.4,1.3,0.4
501,7,3.2,4.6,1.5
502,6.4,3.2,4.5,1.5
503,6.9,3.2,4.7,1.6
504,5.5,2.2,3.9,1.4
505,6.4,2.7,4.5,1.6
506,5.6,2.7,4.4,1.5
507,6.1,3.2,4.8,1.6
508,4.8,2.3,3.2,1.1
509,6.6,2.9,4.7,1.3
510,5.2,2.6,3.9,1.4
511,4.9,2,3.4,1
512,5.9,3,4.1,1.5
513,6,2.1,4,1
514,6.1,2.9,4.6,1.5
515,5.7,2.8,3.5,1.3
516,6.6,3,4.4,1.5
517,5.5,3,4.3,1.6
518,5.8,2.8,4.1,1.1
519,6.1,2.2,4.6,1.6
520,5.5,2.4,3.8,1.2
521,5.9,3,4.6,1.8
522,6.1,2.7,4,1.2
523,6.2,2.4,4.9,1.5
524,6.1,2.7,4.7,1.1
525,6.3,2.8,4.3,1.4
526,6.5,2.9,4.3,1.4
527,6.8,2.7,4.6,1.4
528,6.7,2.9,5,1.8
529,6,2.8,4.4,1.5
530,5.6,2.6,3.4,1.1
531,5.5,2.5,3.8,1.2
532,5.4,2.2,3.5,1
533,5.7,2.6,3.7,1.3
534,5.9,2.6,5,1.6
535,5.4,2.9,4.5,1.5
536,5.9,3.4,4.6,1.7
537,6.6,3,4.7,1.5
538,6.3,2.3,4.3,1.4
539,5.5,3.1,4.2,1.5
540,5.5,2.5,3.9,1.2
541,5.5,2.6,4.4,1.3
542,5.9,3,4.6,1.4
543,5.8,2.5,3.9,1.1
544,5,2.3,3.3,1.1
545,5.6,2.6,4.1,1.4
546,5.6,2.9,4.1,1.4
547,5.7,2.8,4.1,1.3
548,6.2,2.8,4.3,1.4
549,5.1,2.6,2.9,1.3
550,5.6,2.7,3.9,1.4
551,6.2,3.2,6,2.5
552,5.8,2.6,5,2
553,7.1,3,5.9,2.1
554,6.2,2.8,5.7,1.8
555,6.6,2.9,5.9,2.2
556,7.5,2.9,6.7,2.1
557,4.7,2.3,4.3,1.7
558,7.2,2.8,6.3,1.8
559,6.7,2.3,5.7,1.9
560,7.2,3.5,6.1,2.7
561,6.5,3.1,5.1,2
562,6.3,2.6,5.2,1.8
563,6.8,3,5.4,2.1
564,5.7,2.4,5,2.1
565,5.8,2.8,5.1,2.4
566,6.2,3.1,5.4,2.3
567,6.5,2.9,5.4,1.8
568,7.7,3.7,6.7,2.3
569,7.7,2.5,6.9,2.3
570,6,2,5.1,1.5
571,6.8,3.3,5.6,2.4
572,5.5,2.9,4.8,2.1
573,7.6,2.7,6.7,2
574,6.1,2.7,4.9,1.9
575,6.6,3.2,5.7,2.2
576,7.1,3.1,6,1.8
577,6.3,2.8,4.8,1.7
578,6,2.9,4.8,1.9
579,6.4,2.7,5.6,2.1
580,7.1,2.8,5.8,1.7
581,7.4,2.7,6,1.8
582,7.7,3.7,6.2,2.1
583,6.4,2.7,5.4,2.2
584,6.2,2.8,5.1,1.7
585,6.1,2.6,5.4,1.5
586,7.6,3,6.1,2.3
587,6.1,3.4,5.5,2.4
588,6.3,3,5.5,1.8
589,5.9,3,4.7,1.8
590,6.9,3,5.2,2.2
591,6.7,3.1,5.5,2.5
592,6.8,3,5.1,2.3
593,5.7,2.7,5.1,2.1
594,6.7,3.2,5.8,2.3
595,6.5,3.3,5.6,2.5
596,6.6,2.9,5.2,2.4
597,6.4,2.5,5,1.9
598,6.4,2.9,5.2,2.1
599,6.2,3.4,5.4,2.4
600,5.7,2.8,4.9,1.8
601,5.1,3.4,1.3,0.3
602,4.8,3,1.4,0.4
603,4.7,3.2,1.3,0.2
604,4.7,3.1,1.5,0.3
605,5.1,3.4,1.2,0.2
606,5.5,3.8,1.7,0.5
607,4.5,3.3,1.5,0.4
608,5.1,3.3,1.4,0.2
609,4.4,2.9,1.4,0.1
610,4.9,3.1,1.5,0.1
611,5.4,3.6,1.5,0.3
612,4.6,3.4,1.6,0.3
613,4.7,2.9,1.2,0.3
614,4.2,2.8,1,0.2
615,5.8,4,1.1,0.3
616,5.7,4.3,1.5,0.5
617,5.5,3.7,1.2,0.3
618,5.1,3.4,1.4,0.4
619,5.6,3.9,1.5,0.2
620,5,3.8,1.4,0.3
621,5.3,3.2,1.6,0.3
622,4.9,3.5,1.3,0.4
623,4.6,3.5,0.9,0.3
624,5,3.3,1.7,0.6
625,4.9,3.3,1.7,0.3
626,4.9,3,1.4,0.2
627,5,3.4,1.6,0.4
628,5.1,3.6,1.4,0.2
629,5.2,3.3,1.4,0.3
630,4.6,3.2,1.5,0.2
631,4.7,3.1,1.4,0.2
632,5.5,3.5,1.6,0.3
633,5.1,4,1.3,0.2
634,5.5,4.1,1.4,0.3
635,4.8,3.2,1.4,0.2
636,5,3.2,1.1,0.3
637,5.5,3.4,1.3,0.2
638,4.9,2.9,1.5,0.2
639,4.3,3.1,1.2,0.3
640,5,3.2,1.5,0.3
641,5,3.4,1.2,0.4
642,4.4,2.4,1.2,0.3
643,4.4,3.2,1.2,0.3
644,5,3.3,1.5,0.7
645,5.1,3.9,1.8,0.5
646,4.9,2.9,1.3,0.4
647,5.1,3.6,1.5,0.2
648,4.5,3.2,1.3,0.3
649,5.3,3.6,1.4,0.2
650,5,3.2,1.3,0.3
651,7,3.1,4.6,1.5
652,6.3,3,4.4,1.6
653,7,3,4.9,1.4
654,5.4,2.3,4,1.3
655,6.3,2.7,4.6,1.4
656,5.6,2.9,4.5,1.3
657,6.3,3.2,4.7,1.7
658,4.8,2.4,3.3,1
659,6.5,2.8,4.6,1.3
660,5.1,2.8,3.8,1.5
661,4.9,2,3.4,1
662,5.9,3,4.2,1.4
663,6,2.2,4,1
664,5.9,2.9,4.6,1.4
665,5.5,2.8,3.7,1.4
666,6.6,3,4.4,1.4
667,5.6,3,4.4,1.4
668,5.6,2.8,4.1,1
669,6.1,2.1,4.5,1.5
670,5.6,2.5,3.8,1
671,5.9,3.1,4.8,2
672,6,2.7,3.9,1.4
673,6.3,2.5,4.7,1.6
674,6.1,2.8,4.7,1.4
675,6.2,2.8,4.2,1.3
676,6.6,2.9,4.4,1.3
677,6.7,2.7,4.7,1.5
678,6.7,3,4.9,1.6
679,5.8,2.8,4.5,1.6
680,5.5,2.4,3.4,0.9
681,5.4,2.4,3.7,1.1
682,5.4,2.3,3.6,1.2
683,5.7,2.6,3.9,1.4
684,5.9,2.6,5.1,1.6
685,5.3,2.9,4.4,1.5
686,5.9,3.4,4.5,1.7
687,6.8,3.1,4.7,1.4
688,6.3,2.3,4.3,1.4
689,5.5,2.9,4,1.5
690,5.4,2.5,3.9,1.4
691,5.3,2.6,4.4,1.3
692,6,2.8,4.5,1.3
693,5.8,2.6,3.8,1.3
694,5.1,2.1,3.3,1.2
695,5.7,2.7,4.1,1.4
696,5.5,2.8,4.1,1.3
697,5.6,2.9,4.1,1.4
698,6.2,2.8,4.3,1.4
699,5.1,2.5,3,1.2
700,5.6,2.8,4,1.5
701,6.3,3.3,5.9,2.5
702,5.7,2.7,5.1,2
703,7,3.1,6,2.2
704,6.3,2.8,5.6,1.8
705,6.4,3,5.7,2.3
706,7.6,2.9,6.5,2.2
707,5,2.4,4.4,1.7
708,7.3,2.9,6.4,1.8
709,6.7,2.6,5.8,1.8
710,7.3,3.5,6.2,2.5
711,6.4,3.3,5.1,2
712,6.4,2.7,5.3,1.9
713,6.8,3.1,5.5,2.1
714,5.6,2.4,4.9,2.1
715,5.8,2.6,5.2,2.5
716,6.2,3.3,5.3,2.4
717,6.4,2.9,5.5,1.9
718,7.7,3.6,6.5,2.2
719,7.7,2.5,6.8,2.4
720,5.9,2,5,1.6
721,6.8,3.3,5.8,2.2
722,5.5,2.8,4.9,2
723,7.6,2.7,6.7,2.1
724,6.3,2.6,4.8,1.9
725,6.7,3.2,5.6,2.2
726,7.1,3.1,6,1.8
727,6.2,2.8,4.8,1.8
728,6,2.9,4.9,1.9
729,6.4,2.7,5.5,2.2
730,7.1,2.9,5.7,1.6
731,7.2,2.9,6,1.8
732,7.8,3.8,6.4,2
733,6.3,2.7,5.6,2.3
734,6.1,2.8,5.1,1.6
735,6.1,2.7,5.5,1.4
736,7.8,3,6,2.3
737,6.2,3.4,5.5,2.5
738,6.4,2.9,5.5,1.8
739,6,3,4.7,1.8
740,6.9,3.1,5.3,2.2
741,6.5,3,5.5,2.4
742,6.8,3,5.2,2.4
743,5.8,2.6,5.2,1.9
744,6.7,3.3,5.8,2.4
745,6.8,3.1,5.7,2.6
746,6.7,2.9,5.3,2.4
747,6.1,2.4,4.9,1.9
748,6.6,3,5.1,2.1
749,6.2,3.3,5.4,2.4
750,5.8,3,5.1,1.9
751,5.2,3.4,1.4,0.3
752,5,3,1.3,0.2
753,4.8,3.1,1.2,0.4
754,4.4,3,1.5,0.3
755,4.9,3.5,1.2,0.1
756,5.3,3.8,1.8,0.4
757,4.7,3.3,1.3,0.2
758,4.9,3.4,1.5,0.3
759,4.3,2.9,1.5,0.2
760,4.8,3,1.4,0.2
761,5.3,3.7,1.4,0.2
762,4.8,3.2,1.6,0.4
763,4.9,3,1.4,0.1
764,4.3,3,1.1,0.3
765,5.7,3.9,1.2,0.2
766,5.8,4.3,1.5,0.5
767,5.4,3.8,1.2,0.4
768,5,3.5,1.4,0.4
769,5.7,3.7,1.6,0.3
770,5.1,3.8,1.5,0.3
771,5.3,3.4,1.6,0.3
772,5,3.7,1.4,0.6
773,4.5,3.6,1.1,0.3
774,5.1,3.1,1.6,0.6
775,4.7,3.3,1.8,0.2
776,5,2.9,1.5,0.1
777,5,3.3,1.6,0.3
778,5.1,3.4,1.5,0.3
779,5,3.4,1.4,0.3
780,4.5,3.1,1.5,0.2
781,4.8,3,1.5,0.3
782,5.4,3.4,1.5,0.4
783,5.2,4,1.5,0.2
784,5.5,4,1.4,0.2
785,5,3,1.5,0.1
786,5,3.2,1.3,0.1
787,5.4,3.5,1.3,0.2
788,4.8,3.1,1.4,0.1
789,4.4,2.9,1.3,0.2
790,5.1,3.3,1.6,0.1
791,4.9,3.4,1.2,0.5
792,4.4,2.4,1.2,0.4
793,4.4,3.2,1.3,0.3
794,5,3.5,1.6,0.5
795,5.1,3.8,1.9,0.4
796,4.8,3,1.5,0.4
797,5.1,3.7,1.6,0.3
798,4.6,3.2,1.3,0.3
799,5.2,3.6,1.4,0.4
800,5,3.2,1.2,0.2
801,7,3.2,4.7,1.5
802,6.3,3.2,4.5,1.6
803,6.8,3.1,4.8,1.4
804,5.5,2.1,3.9,1.2
805,6.5,2.7,4.5,1.4
806,5.6,2.9,4.4,1.4
807,6.2,3.1,4.6,1.5
808,4.7,2.5,3.3,1
809,6.6,2.8,4.5,1.2
810,5.1,2.6,3.8,1.3
